Start;End;Location;Type;Place;LifeCycles
28/11/2011 02:27;28/11/2011 10:18;Bed;Pressure;Bedroom;1
28/11/2011 10:21;28/11/2011 10:21;Cabinet;Magnetic;Bathroom;1
28/11/2011 10:21;28/11/2011 10:23;Basin;PIR;Bathroom;1
28/11/2011 10:23;28/11/2011 10:23;Toilet;Flush;Bathroom;1
28/11/2011 10:25;28/11/2011 10:32;Shower;PIR;Bathroom;1
28/11/2011 10:34;28/11/2011 10:34;Fridge;Magnetic;Kitchen;1
28/11/2011 10:34;28/11/2011 10:37;Cupboard;Magnetic;Kitchen;1
28/11/2011 10:38;28/11/2011 10:42;Toaster;Electric;Kitchen;1
28/11/2011 10:38;28/11/2011 10:38;Fridge;Magnetic;Kitchen;1
28/11/2011 10:41;28/11/2011 10:41;Cupboard;Magnetic;Kitchen;1
28/11/2011 10:41;28/11/2011 10:41;Cooktop;PIR;Kitchen;1
28/11/2011 10:41;28/11/2011 10:42;Microwave;Electric;Kitchen;1
28/11/2011 10:49;28/11/2011 10:51;Basin;PIR;Bathroom;1
28/11/2011 10:51;28/11/2011 13:05;Seat;Pressure;Living;1
28/11/2011 13:06;28/11/2011 13:06;Basin;PIR;Bathroom;1
28/11/2011 13:06;28/11/2011 13:06;Toilet;Flush;Bathroom;1
28/11/2011 13:09;28/11/2011 13:09;Maindoor;Magnetic;Entrance;1
28/11/2011 13:28;28/11/2011 13:29;Maindoor;Magnetic;Entrance;1
28/11/2011 13:33;28/11/2011 13:38;Fridge;Magnetic;Kitchen;1
28/11/2011 13:38;28/11/2011 14:21;Seat;Pressure;Living;1
28/11/2011 14:26;28/11/2011 14:27;Toilet;Flush;Bathroom;1
28/11/2011 14:27;28/11/2011 14:28;Fridge;Magnetic;Kitchen;1
28/11/2011 14:28;28/11/2011 14:28;Cupboard;Magnetic;Kitchen;1
28/11/2011 14:31;28/11/2011 14:41;Cooktop;PIR;Kitchen;1
28/11/2011 14:31;28/11/2011 14:31;Cupboard;Magnetic;Kitchen;1
28/11/2011 14:35;28/11/2011 14:35;Fridge;Magnetic;Kitchen;1
28/11/2011 15:04;28/11/2011 15:06;Basin;PIR;Bathroom;1
28/11/2011 15:07;28/11/2011 16:09;Seat;Pressure;Living;1
28/11/2011 16:10;28/11/2011 16:10;Basin;PIR;Bathroom;1
28/11/2011 16:10;28/11/2011 20:19;Seat;Pressure;Living;1
28/11/2011 20:20;28/11/2011 20:20;Fridge;Magnetic;Kitchen;1
28/11/2011 20:21;29/11/2011 02:06;Seat;Pressure;Living;1
29/11/2011 02:16;29/11/2011 11:31;Bed;Pressure;Bedroom;2
29/11/2011 11:37;29/11/2011 11:37;Toilet;Flush;Bathroom;2
29/11/2011 11:37;29/11/2011 11:48;Basin;PIR;Bathroom;2
29/11/2011 11:38;29/11/2011 11:38;Cabinet;Magnetic;Bathroom;2
29/11/2011 11:48;29/11/2011 11:48;Cabinet;Magnetic;Bathroom;2
29/11/2011 11:49;29/11/2011 11:51;Shower;PIR;Bathroom;2
29/11/2011 12:08;29/11/2011 12:09;Cupboard;Magnetic;Kitchen;2
29/11/2011 12:09;29/11/2011 12:13;Toaster;Electric;Kitchen;2
29/11/2011 12:09;29/11/2011 12:09;Fridge;Magnetic;Kitchen;2
29/11/2011 12:09;29/11/2011 12:10;Microwave;Electric;Kitchen;2
29/11/2011 12:19;29/11/2011 12:19;Cabinet;Magnetic;Bathroom;2
29/11/2011 12:19;29/11/2011 12:21;Basin;PIR;Bathroom;2
29/11/2011 12:21;29/11/2011 12:21;Toilet;Flush;Bathroom;2
29/11/2011 12:22;29/11/2011 13:25;Seat;Pressure;Living;2
29/11/2011 13:25;29/11/2011 13:25;Fridge;Magnetic;Kitchen;2
29/11/2011 13:25;29/11/2011 15:12;Seat;Pressure;Living;2
29/11/2011 15:13;29/11/2011 15:13;Toilet;Flush;Bathroom;2
29/11/2011 15:13;29/11/2011 15:13;Basin;PIR;Bathroom;2
29/11/2011 15:14;29/11/2011 15:15;Cupboard;Magnetic;Kitchen;2
29/11/2011 15:15;29/11/2011 15:36;Cooktop;PIR;Kitchen;2
29/11/2011 15:15;29/11/2011 15:22;Microwave;Electric;Kitchen;2
29/11/2011 15:15;29/11/2011 15:16;Cupboard;Magnetic;Kitchen;2
