Start          ;End            ;Activity;LifeCycles
12/11/2012 01:54;12/11/2012 09:31;Sleeping;1
12/11/2012 09:37;12/11/2012 09:38;Toileting;1
12/11/2012 09:42;12/11/2012 09:52;Breakfast;1
12/11/2012 09:56;12/11/2012 10:15;Spare_Time/TV;1
12/11/2012 10:18;12/11/2012 10:20;Grooming;1
12/11/2012 10:21;12/11/2012 10:29;Showering;1
12/11/2012 10:33;12/11/2012 10:34;Grooming;1
12/11/2012 10:35;12/11/2012 10:35;Toileting;1
12/11/2012 10:36;12/11/2012 10:40;Grooming;1
12/11/2012 10:42;12/11/2012 10:42;Grooming;1
12/11/2012 10:47;12/11/2012 11:04;Spare_Time/TV;1
12/11/2012 11:05;12/11/2012 11:20;Snack;1
12/11/2012 11:37;12/11/2012 11:47;Snack;1
12/11/2012 12:41;12/11/2012 12:42;Toileting;1
12/11/2012 12:52;12/11/2012 12:55;Toileting;1
12/11/2012 13:00;12/11/2012 13:07;Grooming;1
12/11/2012 13:12;12/11/2012 13:18;Grooming;1
12/11/2012 13:19;12/11/2012 13:32;Spare_Time/TV;1
12/11/2012 13:47;12/11/2012 14:53;Lunch;1
12/11/2012 14:54;12/11/2012 15:22;Spare_Time/TV;1
12/11/2012 15:23;12/11/2012 15:31;Snack;1
12/11/2012 15:38;12/11/2012 15:38;Toileting;1
12/11/2012 15:39;12/11/2012 15:40;Grooming;1
12/11/2012 15:42;12/11/2012 16:11;Spare_Time/TV;1
12/11/2012 16:22;12/11/2012 17:08;Leaving;1
12/11/2012 17:10;12/11/2012 17:29;Spare_Time/TV;1
12/11/2012 17:43;12/11/2012 17:43;Toileting;1
12/11/2012 17:44;12/11/2012 17:44;Grooming;1
12/11/2012 17:45;12/11/2012 18:46;Spare_Time/TV;1
12/11/2012 18:47;12/11/2012 18:56;Snack;1
12/11/2012 19:02;12/11/2012 20:57;Spare_Time/TV;1
12/11/2012 21:06;12/11/2012 21:11;Spare_Time/TV;1
12/11/2012 21:14;12/11/2012 21:15;Grooming;1
12/11/2012 22:35;12/11/2012 22:37;Dinner;1
12/11/2012 22:53;12/11/2012 22:53;Grooming;1
12/11/2012 22:54;12/11/2012 23:34;Spare_Time/TV;1
12/11/2012 23:36;12/11/2012 23:37;Toileting;1
12/11/2012 23:46;13/11/2012 01:27;Spare_Time/TV;1
13/11/2012 01:29;13/11/2012 01:29;Grooming;1
13/11/2012 01:30;13/11/2012 08:52;Sleeping;2
13/11/2012 08:56;13/11/2012 09:04;Breakfast;2
13/11/2012 09:11;13/11/2012 09:11;Grooming;2
13/11/2012 09:14;13/11/2012 09:15;Toileting;2
13/11/2012 09:21;13/11/2012 09:36;Grooming;2
13/11/2012 09:53;13/11/2012 10:11;Leaving;2
13/11/2012 10:14;13/11/2012 10:49;Snack;2
13/11/2012 10:52;13/11/2012 13:41;Leaving;2
13/11/2012 13:47;13/11/2012 13:59;Snack;2
13/11/2012 14:05;13/11/2012 14:06;Toileting;2
13/11/2012 14:08;13/11/2012 14:42;Lunch;2
13/11/2012 14:43;13/11/2012 15:51;Spare_Time/TV;2
13/11/2012 16:07;13/11/2012 16:07;Toileting;2
13/11/2012 16:08;13/11/2012 16:33;Spare_Time/TV;2
13/11/2012 16:35;13/11/2012 17:31;Spare_Time/TV;2
13/11/2012 17:34;13/11/2012 17:36;Snack;2
13/11/2012 17:37;13/11/2012 18:48;Spare_Time/TV;2
13/11/2012 18:51;13/11/2012 19:13;Snack;2
13/11/2012 19:46;13/11/2012 19:47;Toileting;2
13/11/2012 19:52;13/11/2012 23:16;Spare_Time/TV;2
13/11/2012 23:17;13/11/2012 23:22;Dinner;2
13/11/2012 23:39;13/11/2012 23:40;Grooming;2
13/11/2012 23:45;14/11/2012 00:21;Spare_Time/TV;2
14/11/2012 00:27;14/11/2012 00:27;Grooming;2
14/11/2012 00:28;14/11/2012 00:29;Toileting;2
14/11/2012 00:29;14/11/2012 05:12;Sleeping;3
14/11/2012 05:15;14/11/2012 05:15;Grooming;3
14/11/2012 05:16;14/11/2012 09:01;Sleeping;3
14/11/2012 09:04;14/11/2012 09:05;Toileting;3
14/11/2012 09:06;14/11/2012 09:17;Breakfast;3
14/11/2012 09:22;14/11/2012 10:37;Spare_Time/TV;3
14/11/2012 10:38;14/11/2012 11:01;Breakfast;3
14/11/2012 11:07;14/11/2012 11:35;Spare_Time/TV;3
14/11/2012 11:47;14/11/2012 11:52;Grooming;3
14/11/2012 11:56;14/11/2012 11:58;Showering;3
14/11/2012 12:00;14/11/2012 12:08;Grooming;3
14/11/2012 12:21;14/11/2012 12:22;Grooming;3
14/11/2012 12:29;14/11/2012 12:52;Spare_Time/TV;3
14/11/2012 12:52;14/11/2012 12:54;Leaving;3
14/11/2012 12:57;14/11/2012 14:22;Leaving;3
14/11/2012 14:23;14/11/2012 14:23;Toileting;3
14/11/2012 14:24;14/11/2012 14:24;Grooming;3
14/11/2012 14:29;14/11/2012 15:49;Leaving;3
14/11/2012 15:58;14/11/2012 19:48;Spare_Time/TV;3
14/11/2012 20:11;14/11/2012 21:37;Spare_Time/TV;3
14/11/2012 21:37;14/11/2012 21:47;Dinner;3
14/11/2012 21:48;14/11/2012 22:14;Spare_Time/TV;3
14/11/2012 22:14;14/11/2012 22:17;Snack;3
14/11/2012 22:18;14/11/2012 23:06;Spare_Time/TV;3
14/11/2012 23:12;15/11/2012 00:06;Spare_Time/TV;3
15/11/2012 00:07;15/11/2012 00:07;Grooming;3
15/11/2012 00:09;15/11/2012 00:09;Toileting;3
15/11/2012 00:10;15/11/2012 00:10;Grooming;3
15/11/2012 00:10;15/11/2012 00:43;Sleeping;3
15/11/2012 00:43;15/11/2012 01:54;Spare_Time/TV;3
15/11/2012 01:55;15/11/2012 07:46;Sleeping;4
15/11/2012 07:52;15/11/2012 07:52;Toileting;4
15/11/2012 07:53;15/11/2012 09:34;Sleeping;4
15/11/2012 09:37;15/11/2012 09:47;Breakfast;4
15/11/2012 09:51;15/11/2012 09:51;Toileting;4
15/11/2012 09:52;15/11/2012 09:52;Grooming;4
15/11/2012 09:53;15/11/2012 09:56;Grooming;4
15/11/2012 10:00;15/11/2012 10:07;Grooming;4
15/11/2012 10:11;15/11/2012 10:16;Snack;4
15/11/2012 10:26;15/11/2012 11:19;Spare_Time/TV;4
15/11/2012 11:42;15/11/2012 13:02;Leaving;4
15/11/2012 13:09;15/11/2012 14:20;Spare_Time/TV;4
15/11/2012 14:41;15/11/2012 15:43;Lunch;4
15/11/2012 15:48;15/11/2012 15:48;Toileting;4
15/11/2012 15:49;15/11/2012 15:49;Grooming;4
15/11/2012 15:54;15/11/2012 20:10;Leaving;4
15/11/2012 22:07;15/11/2012 22:22;Snack;4
15/11/2012 22:26;15/11/2012 22:30;Dinner;4
15/11/2012 22:31;16/11/2012 00:48;Spare_Time/TV;4
16/11/2012 00:51;16/11/2012 00:53;Grooming;4
16/11/2012 00:54;16/11/2012 00:54;Toileting;4
16/11/2012 00:55;16/11/2012 00:55;Grooming;4
16/11/2012 00:58;16/11/2012 10:37;Sleeping;5
16/11/2012 10:39;16/11/2012 10:52;Breakfast;5
16/11/2012 11:03;16/11/2012 11:06;Showering;5
16/11/2012 11:09;16/11/2012 11:17;Grooming;5
16/11/2012 11:40;16/11/2012 11:47;Grooming;5
16/11/2012 12:09;16/11/2012 12:09;Snack;5
16/11/2012 12:10;16/11/2012 12:53;Leaving;5
16/11/2012 12:56;16/11/2012 13:52;Spare_Time/TV;5
16/11/2012 14:19;16/11/2012 14:55;Lunch;5
16/11/2012 15:05;16/11/2012 15:06;Toileting;5
